text,label
Your net banking access will be blocked tonight. Call immediately to update your details.,1
Dear SBI customer your account shows suspicious activity. Verify your details immediately.,1
Your ATM card has been blocked due to security reasons. Call now to unblock it.,1
HDFC bank: Your KYC is incomplete. Account will be deactivated in 2 hours. Act now.,1
Your bank account has been compromised. Share your card number to stop the fraud now.,1
RBI alert: Your account will be deactivated due to incomplete KYC. Update immediately.,1
Your ICICI account is flagged for suspicious login. Verify OTP now to secure account.,1
Bank of India: Your fixed deposit will be cancelled if you do not call us immediately.,1
Axis bank security alert: Unusual transaction detected. Call now to block your account.,1
Your Canara bank account will be closed today due to KYC mismatch. Call us now.,1
"Bank alert: Rs. 45,000 debited from your account. Call immediately if not done by you.",1
Union Bank: Your account is linked to money laundering. Call officer to clear your name.,1
Your debit card is blocked. Share card details with us to unblock it immediately.,1
"I am calling from the Income Tax department. You owe Rs. 15,000 or we will arrest you.",1
"Income Tax notice: Your tax return has discrepancy. Pay Rs. 8,000 fine within today.",1
This is TRAI calling. Your mobile number will be disconnected in 2 hours for illegal use.,1
Aadhaar linking deadline is today. Your ration card will be cancelled if not linked now.,1
Government scheme: Your Aadhaar is linked to a criminal case. Call to clear your name.,1
EPFO alert: Your PF account has been frozen. Withdraw your funds by calling us now.,1
This is calling from police department. A case is registered against your Aadhaar number.,1
Your passport is flagged for illegal activity. Call the customs department immediately.,1
"Income Tax refund of Rs. 12,000 is pending. Share your bank details to receive it today.",1
TRAI final notice: Your number will be blocked in 4 hours for sending spam messages.,1
Supreme Court notice: You have a pending case. Appear today or face immediate arrest.,1
Your voter ID has been linked to a fraud. Call Election Commission helpline now.,1
"Government: Your free LPG subsidy of Rs. 5,000 is pending. Share your bank account now.",1
"PM Kisan Yojana: Rs. 6,000 benefit is ready to transfer. Give your Aadhaar number now.",1
Cyber Crime branch: Your IP address used in illegal activity. Call officer immediately.,1
CBI calling: Money laundering case filed against your mobile number. Settle now.,1
Your pension account flagged by government. Call this helpline to verify your identity.,1
Please share your OTP immediately to receive your government subsidy payment.,1
"Share your Aadhaar number and OTP to verify your identity and receive Rs. 3,000 benefit.",1
Send OTP received on your phone to complete KYC and avoid account suspension today.,1
Your OTP is required to process your LIC claim of Rs. 2 lakh. Share it now.,1
Bank verification: Share the 6-digit OTP on your phone to secure your account now.,1
To receive your lottery prize of Rs. 10 lakh share the OTP sent to your registered number.,1
Share your Aadhaar number with us to confirm your identity for the government scheme.,1
Send your bank account number and OTP to receive your pending PF amount immediately.,1
Your UPI PIN is required to reverse a wrong transaction. Share it with our agent now.,1
Enter the OTP we sent to withdraw your fixed deposit before the account is locked.,1
Ayushman Bharat card ready for you. Call to receive free hospital treatment worth Rs. 5 lakh.,1
Free knee replacement surgery for senior citizens under government scheme. Call to apply.,1
"Your health insurance claim of Rs. 80,000 is approved. Share your bank details to receive.",1
"Senior citizen welfare scheme: Get Rs. 2,000 monthly pension. Register by calling now.",1
Free annual health checkup for people above 60. Limited slots. Call immediately to book.,1
Cancer treatment fully free under new PM scheme. Call us to enroll before 31st.,1
"Your LIC bonus of Rs. 45,000 is ready. Call our representative to claim before it expires.",1
Special medicine at 80% discount for senior citizens. Order now by calling this number.,1
Eye treatment completely free for senior citizens above 65. Call today to book your slot.,1
Free diabetic checkup and medicines for senior citizens. Register by calling us today.,1
"Amma I am Karthik I am in trouble please send Rs. 10,000 to this number do not tell anyone.",1
This is your grandson calling from a new number. I had an accident send money urgently.,1
"Amma it is Priya I lost my phone and wallet I need Rs. 5,000 immediately please help.",1
"I am calling on behalf of your son. He is in hospital. Send Rs. 20,000 for treatment now.",1
"Your daughter is in police custody. Pay Rs. 15,000 fine to this number to release her now.",1
This is your nephew Rajan. I am stuck at airport. Send money to this account urgently.,1
"Amma your son met with accident. Doctor needs Rs. 50,000 deposit. Transfer now.",1
"Your relative gave your number as emergency contact. They need Rs. 8,000 help urgently.",1
Hello this is Arun your son's friend. He is in trouble and asked me to call you for help.,1
Thatha I am your granddaughter Meera. I need money for exam fees. Please send urgently.,1
Your computer has a virus and all your data will be deleted in 1 hour. Call us now.,1
"Microsoft support calling. Your Windows license has expired. Pay Rs. 2,000 to renew now.",1
We detected malware on your computer. Give remote access to our technician immediately.,1
Your phone is hacked. To secure it share your Google account password with us right now.,1
Apple support: Your iCloud account is compromised. Verify now to avoid permanent lock.,1
Your computer is sending virus to other computers. Call our helpline to fix it urgently.,1
Install this app immediately to remove the virus from your phone before data is stolen.,1
Truecaller detected fraud calls from your number. Pay fine or your SIM will be blocked.,1
Your Gmail account will be permanently deleted in 2 hours. Verify your password now.,1
Facebook detected illegal activity on your account. Share OTP to avoid permanent ban.,1
"You have won a senior citizen wellness voucher, open the link and enter your Aadhaar now.",1
"SBI update team here, your KYC is pending, tell OTP now or pension will stop tonight.",1
"Your electricity subsidy is approved, pay Rs. 199 processing fee immediately to activate it.",1
"LIC maturity department speaking, share bank details now to release your policy amount today.",1
"Your son met with an accident, send money to this UPI now and do not call anyone.",1
"Government health card is ready, confirm Aadhaar and debit card to receive free treatment benefit.",1
"We detected suspicious activity in your pension account, verify PAN and OTP in the next 10 minutes.",1
Your gas connection will be disconnected tonight unless you transfer the safety renewal fee now.,1
"This is official bank support, install our remote app so we can secure your account immediately.",1
"You are selected for a temple donation refund of Rs. 25,000, share account number and OTP now.",1
"Dear customer, your free medicine scheme is approved, pay registration charge today to unlock it.",1
"KYC officer here, send photo of Aadhaar front and back on WhatsApp right now.",1
Your daughter sent a parcel gift and customs payment of Rs. 850 is required immediately.,1
"Ration card benefit released, click this link and verify account details before midnight.",1
"Bank helpline warning: nominee update failed, confirm debit card number and CVV now.",1
"Your eye surgery discount is approved, transfer booking charge now to keep the slot.",1
"We are calling from the official medicine scheme, share OTP to activate your free supply today.",1
"Your pension verification failed, pay the service charge now or next month amount will stop.",1
Update your gas subsidy KYC through this private number before 8 PM tonight.,1
"An electricity officer is on the way, pay the overdue amount now to cancel disconnection visit.",1
"Your relative used your number for lottery registration, send Aadhaar to release the reward.",1
"Your branch manager is busy, I will help now, just tell the OTP and card expiry.",1
"A free wheelchair grant is approved for you, send account details and registration fee now.",1
"You qualify for an old age pension bonus, open this link and verify bank login immediately.",1
"Customs is holding your son parcel, pay now and do not call him because phone is damaged.",1
"I am from the nearby office, I can help finish your KYC by phone if you read the OTP.",1
"No need to go to branch, I will complete the blocked account process right now for you.",1
"Your medicine reimbursement is ready, just confirm the card details and small activation amount.",1
"We are sending a helper to your house, keep cash ready for insurance file opening.",1
"Your phone number got selected for a government senior reward, tell Aadhaar to verify identity.",1
"You won Rs. 25 lakh in lucky draw, pay processing fee immediately to receive the prize.",1
"Congratulations, your lucky draw reward is ready, send the claim fee now to collect Rs. 25 lakh.",1
"Prize department notice: your number won 25 lakh, transfer processing charge to release it today.",1
"Your lucky draw cash reward is approved, pay the small release fee immediately.",1
"You have won bumper prize money, deposit claim charges now to receive the amount.",1
"Lucky draw winner alert, send registration fee first and then your prize will be credited.",1
"Congratulations, your reward of Rs. 15 lakh is waiting, pay service fee to claim it now.",1
"Your mobile number won a special lucky prize, pay processing amount today to receive funds.",1
